Заказы,Выручка,Цена,Скидка,Рейтинг,Наличие (%),Рейтинг продавца,Отзывы о бренде,Дней в акциях,Средняя видимость,Основной склад,Уровень лояльности,Доставка_ЮФО_(ч),Доставка_ПФО_(ч),Доставка_УФО_(ч),Доставка_ДФО_(ч),Доставка_СФО_(ч),Доставка_СЗФО_(ч),Доставка_ЦФО_(ч),Ср время доставки (ч),Количество показов,Участвует в акциях,Количество отзывов
590,1077364,1829.27,69.57,5.0,96.7741935483871,4.78,108472,28,2,Белая дача,Бронзовый,65,21,38,164,18,35,20,51,289701.0,1,41.0
86,395167,4803.07,61.0,0.0,48.38709677419355,0.0,0,8,1,Коледино,Бронзовый,66,21,38,169,65,36,21,59,66557.0,1,0.0
430,1052734,2522.03,57.67,4.4,96.7741935483871,4.4559649122807015,16510179,30,1,Подольск,Бронзовый,65,21,38,164,18,35,20,51,66962.0,1,278.0
118,323541,2788.7,32.37,4.8,96.7741935483871,4.74,26891897,30,1,Коледино,Начальный,66,21,38,164,18,36,21,52,61143.0,1,180.0
3,5939,2028.57,57.0,0.0,96.7741935483871,5.0,288,20,2,Тула,Нет данных,65,21,38,169,65,35,20,59,10317.0,1,0.0
84,440968,5334.47,25.03,4.6,96.7741935483871,4.6,2667983,22,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,147.0,1,3525.0
973,1301559,1345.4,30.63,4.5,96.7741935483871,4.49,951087,25,1,Волгоград,Бронзовый,66,21,38,164,18,36,21,52,866474.0,1,434.0
18,43448,2468.27,42.5,4.7,96.7741935483871,4.526666666666666,18147264,29,2,Коледино,Нет данных,66,21,38,169,65,36,21,59,383461.0,1,15.0
55,160482,3029.4,81.37,4.8,96.7741935483871,0.0,0,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,31893.0,1,13.0
1620,1546702,946.6,57.0,4.8,96.7741935483871,4.385,12373144,25,2,Новосибирск,Бронзовый,66,21,38,164,18,36,21,52,875975.0,1,3958.0
