Заказы,Выручка,Цена,Скидка,Рейтинг,Наличие (%),Рейтинг продавца,Отзывы о бренде,Дней в акциях,Средняя видимость,Основной склад,Уровень лояльности,Доставка_ЮФО_(ч),Доставка_ПФО_(ч),Доставка_УФО_(ч),Доставка_ДФО_(ч),Доставка_СФО_(ч),Доставка_СЗФО_(ч),Доставка_ЦФО_(ч),Ср время доставки (ч),Количество показов,Участвует в акциях,Количество отзывов
262,603047,2270.4,62.93,4.9,96.7741935483871,4.308125,6005481,29,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,27581.0,1,70.0
118,506916,4369.77,66.2,4.9,96.7741935483871,4.47,525946,29,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,10642.0,1,19.0
1404,1824198,1310.2,55.8,4.8,96.7741935483871,4.63,7402078,29,2,Обухово,Бронзовый,66,21,38,164,18,36,21,52,1337845.0,1,373.0
1312,1763556,1351.17,30.73,4.8,96.7741935483871,4.49,951087,29,1,Новосибирск,Бронзовый,66,21,38,164,18,36,21,52,1440774.0,1,374.0
0,0,6000.0,40.0,0.0,3.225806451612903,4.696666666666666,5054365,0,1,Коледино,Нет данных,66,35,58,178,78,36,21,67,22227.0,0,0.0
2356,2935295,1245.2,43.43,4.8,96.7741935483871,4.775,10500534,29,2,Новосибирск,Серебряный,66,21,38,164,18,36,21,52,1048654.0,1,1622.0
761,2073041,2768.7,57.2,4.6,96.7741935483871,4.6825,1057078,29,1,Коледино,Серебряный,66,21,38,164,18,36,21,52,432028.0,1,1062.0
907,4761206,5252.37,69.7,4.6,96.7741935483871,4.539937888198758,201006839,25,1,Коледино,Серебряный,66,21,38,164,18,36,21,52,862605.0,1,163.0
41,104339,2683.11,59.11,5.0,58.064516129032256,0.0,0,9,2,Коледино,Начальный,66,31,55,178,77,36,21,66,164201.0,1,1.0
224,576904,2734.27,69.9,4.5,96.7741935483871,4.64,11588,29,1,Коледино,Бронзовый,66,21,38,164,18,36,21,52,134089.0,1,615.0
3440,3431751,990.53,72.17,4.8,96.7741935483871,4.65,51128371,30,2,Новосибирск,Серебряный,65,21,38,164,18,35,20,51,643564.0,1,24782.0
8,82805,10454.5,14.13,4.9,96.7741935483871,4.5685,4331175,29,2,Коледино,Начальный,66,31,55,178,77,36,21,66,10724.0,1,617.0
412,852314,2200.33,57.57,4.5,96.7741935483871,4.49,815261,29,1,Подольск,Бронзовый,65,21,38,164,18,35,20,51,112460.0,1,256.0
127,478286,4022.37,67.93,4.7,96.7741935483871,4.593809523809524,2360059,29,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,111881.0,1,64.0
651,2400054,3791.63,73.07,4.6,96.7741935483871,4.539937888198758,201006839,25,2,Коледино,Серебряный,66,21,38,164,18,36,21,52,331639.0,1,100.0
1306,1079507,832.8,78.13,4.8,96.7741935483871,4.745,1522012,29,2,Обухово,Бронзовый,66,21,38,164,18,36,21,52,91894.0,1,438.0
78,185769,2405.67,47.37,4.1,96.7741935483871,4.455555555555556,4860800,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,10592.0,1,103.0
1318,2069805,1630.23,54.87,4.7,96.7741935483871,4.74,44416361,29,2,Новосибирск,Серебряный,65,21,38,164,18,35,20,51,18325.0,1,741.0
6,38152,7211.83,64.9,4.8,96.7741935483871,4.8,675,25,2,Тула,Нет данных,66,31,55,178,77,36,21,66,4470.0,1,25.0
1315,1243729,951.3,56.7,4.9,96.7741935483871,4.385,12373144,29,1,Новосибирск,Бронзовый,66,21,38,164,18,36,21,52,1030116.0,1,3425.0
168,287125,1685.13,52.83,4.5,96.7741935483871,4.74,44416361,29,2,Белая дача,Начальный,66,21,38,164,18,36,21,52,128069.0,1,58.0
246,1206502,5061.23,63.77,4.7,96.7741935483871,4.593809523809524,2360059,29,1,Коледино,Бронзовый,66,21,38,164,18,36,21,52,22476.0,1,61.0
440,1180933,2763.5,57.67,4.7,96.7741935483871,4.745,528542,29,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,209650.0,1,361.0
82,130221,1618.1,77.67,4.8,96.7741935483871,4.308125,6005481,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,5272.0,1,9.0
91,178416,1987.03,76.43,4.6,96.7741935483871,0.0,0,29,2,Коледино,Начальный,66,21,38,164,18,36,21,52,879.0,1,34.0
40,73073,1802.6,78.53,5.0,96.7741935483871,0.0,0,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,22054.0,1,5.0
348,1082222,3163.23,63.93,4.6,96.7741935483871,4.29,571333,29,1,Коледино,Бронзовый,66,21,38,169,65,36,21,59,15094.0,1,572.0
236,215255,920.7,71.77,4.3,96.7741935483871,4.36,492607,29,2,Невинномысск,Начальный,65,21,38,169,65,35,20,59,143563.0,1,90.0
32,83892,2656.8,33.47,5.0,48.38709677419355,4.92,29275097,0,2,Электросталь,Начальный,67,21,38,169,65,40,25,60,2561.0,0,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,Электросталь,Нет данных,65,21,38,164,18,35,20,51,0.0,0,0.0
9,27334,2023.22,66.0,0.0,29.032258064516128,4.8,940,0,2,Котовск,Нет данных,65,21,38,169,65,35,20,59,31469.0,0,0.0
6159,9682232,1612.13,59.1,4.9,96.7741935483871,4.85,2965208,29,1,Чашниково,Золотой,66,21,38,164,18,36,21,52,1637198.0,1,3356.0
922,1848885,1967.37,37.47,4.8,96.7741935483871,4.845,3773841,25,2,Новосибирск,Бронзовый,66,21,38,164,18,36,21,52,442918.0,1,1081.0
39,205273,5305.27,25.77,4.7,96.7741935483871,4.6,2667983,23,2,Коледино,Начальный,66,21,38,164,18,36,21,52,149.0,1,105.0
644,2013524,3170.5,79.37,4.2,96.7741935483871,4.459335260115607,12658989,16,2,Коледино,Серебряный,66,21,38,164,18,36,21,52,251164.0,1,26.0
107,517334,4933.73,39.6,5.0,96.7741935483871,4.76,90637,24,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,308030.0,1,5.0
68,68111,1023.8,55.5,4.9,96.7741935483871,4.87,30275953,29,2,Котовск,Начальный,66,21,38,164,18,36,21,52,29560.0,1,2868.0
9,9861,1438.67,34.0,0.0,9.67741935483871,4.87,30275953,0,2,Тула,Нет данных,75,21,38,169,65,59,39,66,27249.0,0,0.0
1058,9656558,9109.83,53.87,4.5,96.7741935483871,4.58,74397,29,1,Астана 2,Золотой,66,21,38,164,18,36,21,52,103185.0,1,197.0
1558,3582777,2331.0,47.3,4.6,96.7741935483871,4.66,3113819,29,2,Владимир,Серебряный,65,21,38,164,18,35,20,51,548171.0,1,651.0
6,10446,1819.93,78.43,5.0,96.7741935483871,0.0,0,29,2,Коледино,Нет данных,66,31,55,178,77,36,21,66,11448.0,1,1.0
2103,3157171,1496.07,65.0,4.9,96.7741935483871,4.71,2305538,29,1,Волгоград,Серебряный,65,21,38,164,18,35,20,51,1145047.0,1,3274.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,Коледино,Нет данных,66,21,38,169,65,36,21,59,0.0,0,0.0
73,198726,2801.53,48.83,4.0,96.7741935483871,4.54,292031,30,2,Коледино,Начальный,66,21,38,164,18,36,21,52,166409.0,1,5.0
38,35599,920.67,93.77,4.9,96.7741935483871,4.79,2834806,29,2,FBS,Нет данных,66,31,55,178,77,36,21,66,29460.0,1,59.0
246,815437,3375.87,69.2,4.6,96.7741935483871,4.428767123287671,11573743,29,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,62572.0,1,34.0
29,53588,2397.4,47.77,4.9,96.7741935483871,5.0,288,18,2,Санкт-Петербург (Уткина Заводь),Начальный,66,31,55,164,18,36,21,55,11175.0,1,9.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,Коледино,Нет данных,66,21,38,164,18,36,21,52,0.0,0,0.0
1416,1332004,943.23,53.17,4.9,96.7741935483871,4.815,19045112,29,2,Обухово,Бронзовый,65,21,38,164,18,35,20,51,246778.0,1,22274.0
670,1775018,2884.03,73.57,4.8,96.7741935483871,4.5925,31763457,28,2,Астана 2,Бронзовый,65,21,38,164,18,35,20,51,370917.0,1,45.0
194,196270,1020.37,55.6,4.9,96.7741935483871,4.87,30275953,25,1,Котовск,Начальный,66,21,38,169,65,36,21,59,89344.0,1,1965.0
